sort,date_collected,date_observed,data_sheet,row,column,sub_reef,coral_id,site,type,code,count,cafi_size_mm,search_term,lowest_level,alt_size_mm,photo_type,photo_num,notes,worms_id,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,species
898,NA,6/16/21,236,1,1,A,FE-POC61,MRB,fish,DAAR,1,25.8,Dascyllus aruanus,species,21.5,,FE-POC61,size from imageJ,212843,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Labroidei,NA,NA,Pomacentridae,NA,Dascyllus,Dascyllus aruanus
898,NA,6/16/21,236,1,1,A,FE-POC61,MRB,fish,DAAR,1,27.3,Dascyllus aruanus,species,24.5,,FE-POC61,size from imageJ,212843,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Labroidei,NA,NA,Pomacentridae,NA,Dascyllus,Dascyllus aruanus
898,NA,6/16/21,236,1,1,A,FE-POC61,MRB,fish,DAAR,1,30.6,Dascyllus aruanus,species,26,,FE-POC61,size from imageJ,212843,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Labroidei,NA,NA,Pomacentridae,NA,Dascyllus,Dascyllus aruanus
898,NA,6/16/21,236,1,1,A,FE-POC61,MRB,fish,DAAR,1,33.8,Dascyllus aruanus,species,29.2,,FE-POC61,size from imageJ,212843,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Labroidei,NA,NA,Pomacentridae,NA,Dascyllus,Dascyllus aruanus
898,NA,6/16/21,236,1,1,A,FE-POC61,MRB,fish,DAAR,1,35.5,Dascyllus aruanus,species,28.5,,FE-POC61,size from imageJ,212843,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Labroidei,NA,NA,Pomacentridae,NA,Dascyllus,Dascyllus aruanus
898,NA,6/16/21,236,1,1,A,FE-POC61,MRB,fish,DAAR,1,37.7,Dascyllus aruanus,species,31.2,,FE-POC61,size from imageJ,212843,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Labroidei,NA,NA,Pomacentridae,NA,Dascyllus,Dascyllus aruanus
898,NA,6/16/21,236,1,1,A,FE-POC61,MRB,fish,DAAR,1,45.6,Dascyllus aruanus,species,37.2,,FE-POC61,size from imageJ,212843,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Labroidei,NA,NA,Pomacentridae,NA,Dascyllus,Dascyllus aruanus
899,NA,6/16/21,236,1,1,A,FE-POC61,MRB,fish,CAMA,1,17,Caracanthus maculatus,species,14,,FE-POC61,size from imageJ,220364,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Scorpaeniformes,Scorpaenoidei,NA,NA,Scorpaenidae,Caracanthinae,Caracanthus,Caracanthus maculatus
899,NA,6/16/21,236,1,1,A,FE-POC61,MRB,fish,CAMA,1,33.4,Caracanthus maculatus,species,28.2,,FE-POC61,size from imageJ,220364,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Scorpaeniformes,Scorpaenoidei,NA,NA,Scorpaenidae,Caracanthinae,Caracanthus,Caracanthus maculatus
899,NA,6/16/21,236,1,1,A,FE-POC61,MRB,fish,CAMA,1,36.4,Caracanthus maculatus,species,31.4,,FE-POC61,size from imageJ,220364,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Scorpaeniformes,Scorpaenoidei,NA,NA,Scorpaenidae,Caracanthinae,Caracanthus,Caracanthus maculatus
